gvkey,fyear,TFP
1076,1998,-.2665611
1076,1999,-.3111672
1076,2000,-.2784632
1076,2001,-.5677997
1076,2002,-.4904903
1076,2003,-.5045738
1076,2004,-.4560909
1076,2005,-.5540103
1076,2006,-.5753653
1076,2007,-.6964567
1076,2008,-.773515
1076,2009,-.7352828
1076,2010,-.6705729
1076,2011,-.6985474
1076,2012,-.6896827
1076,2013,-.7274674
1076,2014,-.4159339
1076,2015,-.3142738
1076,2016,-.3048556
1077,1977,-.8695409
1077,1978,-.7481559
1077,1979,-.4976206
1078,1963,-.2959707
1078,1964,-.2892244
1078,1965,-.3760107
1078,1966,-.3777826
1078,1967,-.3092762
1078,1968,-.3761761
1078,1969,-.3514118
1078,1970,-.2692396
1078,1971,-.5529168
1078,1972,-.4122197
1078,1973,-.3822687
1078,1974,-.3896177
1078,1975,-.3418984
1078,1976,-.2818993
1078,1977,-.1411375
1078,1978,-.1205737
1078,1979,.0451102
1078,1980,.0771498
1078,1981,.0346537
1078,1982,.0226815
1078,1983,.0931504
1078,1984,.1505144
1078,1985,.1198825
1078,1986,.1210861
1078,1987,.1762545
1078,1988,.1632741
1078,1989,.2122089
1078,1990,.1763617
1078,1991,.1233697
1078,1992,.0207309
1078,1993,.1182605
1078,1994,.1074694
1078,1995,.1492114
1078,1996,.2231328
1078,1997,.2682265
1078,1998,.1975554
1078,2003,.0657422
1078,2004,.1215867
1078,2005,.1506401
1078,2006,.0457219
1078,2007,.0602356
1078,2008,.1306992
1078,2009,-.0419867
1078,2010,-.0672827
1078,2011,-.0392648
1078,2012,.0451316
1078,2013,-.5231261
1078,2014,-.4908314
1078,2015,-.4257722
1078,2016,-.3891532
1079,1969,-.1545981
1079,1970,-.2035536
1079,1971,-.3120404
1079,1972,-.6915883
1079,1973,-.6143704
1079,1974,-.7391503
1082,1982,-.7025205
1082,1983,-.704463
1082,1984,-.6055124
1082,1985,-.7363093
1082,1986,-.6253804
1082,1987,-.5578953
1082,1988,-.4607733
1082,1989,-.4556966
1082,1990,-.4605814
1082,1991,-.5390705
1082,1992,-.5005554
1082,1993,-.4979767
1082,1994,-.5249425
1082,1995,-.6591063
1082,1996,-.1994354
1082,1997,-.3455433
1082,1998,-.8022113
1082,1999,-.0954948
1083,1976,-.1591028
1083,1977,-.2806275
1083,1978,-.4800588
1083,1979,-1.720458
1083,1982,-.6559315
1083,1983,-1.130694
1083,1986,-1.661541
1085,1973,-.2151286
1085,1974,-.2925079
1085,1975,-.494478
1085,1976,-.3252994
1085,1977,.0564031
1085,1978,.082679
1085,1979,.1550692
1085,1980,.1617248
1085,1981,.1267972
1085,1982,.0910808
1085,1983,-.1753658
1085,1984,-.1260176
1088,1979,-.2310548
1088,1980,-.2920993
1088,1982,-.3741953
1088,1983,-.3386185
1088,1984,-.2351735
1088,1985,-.2513734
1089,1979,-.7731507
1090,1980,-.5330978
1090,1981,-.542139
1090,1982,-.1417919
1090,1983,-.1522372
1090,1984,-.1599147
1090,1985,-.5395431
1090,1987,-.5851917
1091,1982,-.0258621
1091,1983,-.1364876
1091,1984,-.1097851
1091,1985,-.0988037
1091,1986,-.1063233
1093,1969,-.1822829
1093,1970,-.0526377
1093,1971,-.1472621
1093,1972,-.133942
1093,1973,-.1788518
1093,1974,-.2406283
1093,1975,-.2676961
1093,1976,-.4355606
1093,1977,-.3577273
1093,1978,-.3910379
1093,1979,-.3570444
1093,1980,-.3169485
1093,1981,-.2839973
1093,1982,-.3402461
1093,1983,-.3341371
1093,1984,-.3430199
1093,1985,-.3234887
1094,1976,.3811948
1094,1977,.3941497
1094,1978,.314833
